Ecol_Site,Treatment,Date_Surveyed,Plot,Indicator,1stHitAvg,AnyHitAvg,Area ,site
 UNKNOWN,Burn,2015,Loamy 058,Annual,0,0,Cerro del Aire,Treated
R036XB006NM,Burn,2015,Loamy 058,Bare Soil,0,0.24,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Forb/herb (All),0.007,0.013,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Forb/herb (Invasive),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Forb/herb (Perennial),0.007,0.013,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Graminoid (All),0.553,0.607,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Graminoid (Invasive),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Graminoid (Perennial),0.553,0.607,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Litter,0,0.32,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Perennial,0.667,0.667,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Shrub (All),0.053,0.053,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Shrub (Invasive),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Sub-Shrub (All),0.053,0.053,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Succulent (All),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Succulent (Invasive),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Total Foliar,0.667,0.667,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Total Litter,0,0.347,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Tree (All),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Tree (Invasive),0,0,Cerro del Aire,Treated
 UNKNOWN,Burn,2015,Loamy 058,Woody Litter,0,0.033,Cerro del Aire,Treated
R036XB006NM,Disc & Seed,2014,Cerrito Negro - 01,Annual,0,0,Cerrito Negro,Treated
R036XB006NM,Disc & Seed,2014,Cerrito Negro - 01,Bare Soil,0,0.32,Cerrito Negro,Treated
R036XB006NM,Disc & Seed,2014,Cerrito Negro - 01,Forb/herb (All),0,0,Cerrito Negro,Treated
R036XB006NM,Disc & Seed,2014,Cerrito Negro - 01,Forb/herb (Invasive),0,0,Cerrito Negro,Treated
