Ecol_Site,Treatment,Site,Plot,Indicator,1stHitAvg,AnyHitAvg
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Annual,0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Bare Soil,0,0.32
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Forb/herb (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Forb/herb (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Graminoid (All),0.44,0.44
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Graminoid (Perennial),0.44,0.44
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Litter,0,0.367
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Perennial,0.44,0.44
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Shrub (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Sub-Shrub (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Succulent (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Total Foliar,0.44,0.44
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Total Litter,0,0.387
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Tree (All),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Tree (Invasive),0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2014,Cerrito Negro - 01,Woody Litter,0,0.04
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Annual,0,0
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Bare Soil,0,0.18
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Forb/herb (All),0.007,0.013
R036XB006NM,Disc & Seed,RGdNNM Treatment 2015,Cerrito Negro 02,Forb/herb (Invasive),0,0
